Function,Dim,Algorithm,Population,Iterations,Mean,Std,Best,Time
Rastrigin,2,PSO,10,50,0.6080840918078969,0.6646344649044607,2.425985137222142e-07,0.007917642593383789
Rastrigin,2,ABC,10,50,0.7885010555801095,0.9096244142165247,3.822605165737514e-08,0.01607978343963623
Rastrigin,2,PSO,10,100,0.3755094487150439,0.9751221455817908,7.105427357601002e-15,0.014315152168273925
Rastrigin,2,ABC,10,100,1.1185512518826153,1.277511060302353,1.4210854715202004e-14,0.022604525089263916
Rastrigin,2,PSO,10,200,0.7648693643987132,0.8266357287117969,0.0,0.018136203289031982
Rastrigin,2,ABC,10,200,0.9310051833644121,0.9910297510843313,0.0,0.02413231134414673
Rastrigin,2,PSO,20,50,0.16622576810568807,0.3511800236011767,3.15368591685683e-07,0.014672684669494628
Rastrigin,2,ABC,20,50,0.28100909479225267,0.5550920012311751,1.3480512066621486e-06,0.03328663110733032
Rastrigin,2,PSO,20,100,0.11332537758113048,0.44078194771599605,3.552713678800501e-15,0.026163876056671143
Rastrigin,2,ABC,20,100,0.3466424028387939,0.48917432644290026,0.0,0.04979180097579956
Rastrigin,2,PSO,20,200,0.013656902340097865,0.029930233867408812,0.0,0.040545427799224855
Rastrigin,2,ABC,20,200,0.6133248520231265,0.7094255513964633,0.0,0.04880645275115967
Rastrigin,2,PSO,50,50,2.304009406550733e-06,2.4196526985142244e-06,1.6757041976234177e-08,0.03308093547821045
Rastrigin,2,ABC,50,50,0.003215583336385386,0.005380208185815204,2.5061494213218793e-07,0.08224008083343506
Rastrigin,2,PSO,50,100,2.1008104944542083e-07,9.157194408452638e-07,0.0,0.06530245542526245
Rastrigin,2,ABC,50,100,0.08635056223404688,0.22693190077984043,0.0,0.11975752115249634
Rastrigin,2,PSO,50,200,0.02378552844691608,0.05149103869138182,0.0,0.0892295241355896
Rastrigin,2,ABC,50,200,0.024458124917431157,0.045544211265602236,0.0,0.1590777039527893
Rastrigin,2,PSO,100,50,5.724997969558388e-06,2.3679104407373157e-05,2.9837821102773887e-10,0.11484383344650269
Rastrigin,2,ABC,100,50,0.0018198151448711286,0.005345518598516952,2.2441225411284904e-07,0.30923826694488527
Rastrigin,2,PSO,100,100,0.0001312923294769064,0.0005722899961116929,0.0,0.13863463401794435
